City_ID,City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
355,355,Aquiraz,-3.9014,-38.3911,78.8,89,75,6.91,BR,2021-02-20 21:48:53
361,361,Merauke,-8.4667,140.3333,77.25,89,100,12.12,ID,2021-02-20 21:44:43
362,362,Guadalupe Victoria,32.2869,-115.105,84.0,12,1,2.3,MX,2021-02-20 21:48:54
373,373,Boca Do Acre,-8.7522,-67.3978,78.42,94,90,3.09,BR,2021-02-20 21:48:56
375,375,Belmonte,-15.8631,-38.8828,80.6,69,40,10.36,BR,2021-02-20 21:48:56
378,378,Tiarei,-17.5333,-149.3333,80.6,74,75,6.91,PF,2021-02-20 21:48:57
380,380,Touros,-5.1989,-35.4608,82.4,74,40,18.41,BR,2021-02-20 21:48:57
385,385,Pozo Colorado,-23.4923,-58.7972,88.57,36,0,5.86,PY,2021-02-20 21:48:58
392,392,Xai-Xai,-25.0519,33.6442,77.29,91,100,6.13,MZ,2021-02-20 21:48:59
393,393,Grand-Santi,4.25,-54.3833,75.81,90,93,2.71,GF,2021-02-20 21:45:29
398,398,Tsaratanana,-16.7833,47.65,75.15,81,99,4.21,MG,2021-02-20 21:49:00
399,399,Taoudenni,22.6783,-3.9836,79.63,16,1,9.73,ML,2021-02-20 21:44:44
405,405,Harper,4.375,-7.7169,78.8,86,76,5.79,LR,2021-02-20 21:49:01
412,412,Kudahuvadhoo,2.6708,72.8944,81.07,74,43,10.45,MV,2021-02-20 21:46:00
415,415,Tautira,-17.7333,-149.15,80.6,74,75,6.91,PF,2021-02-20 21:46:12
417,417,Manaus,-3.1019,-60.025,77.0,88,75,3.44,BR,2021-02-20 21:49:04
423,423,Manggar,-2.8833,108.2667,78.87,84,96,10.69,ID,2021-02-20 21:46:11
433,433,Mayumba,-3.432,10.6554,79.61,81,100,1.43,GA,2021-02-20 21:49:06
439,439,Fuerte Olimpo,-21.0415,-57.8738,86.34,48,10,1.81,PY,2021-02-20 21:45:10
448,448,Pocone,-16.2567,-56.6228,85.32,49,71,5.08,BR,2021-02-20 21:49:09
451,451,Pointe Michel,15.25,-61.3833,78.8,69,40,12.66,DM,2021-02-20 21:49:10
452,452,Puerto Vallarta,20.6204,-105.2307,77.0,73,1,11.5,MX,2021-02-20 21:49:10
453,453,Meulaboh,4.1363,96.1285,77.63,84,96,3.83,ID,2021-02-20 21:44:17
456,456,Samarai,-10.6167,150.6667,83.17,74,95,3.06,PG,2021-02-20 21:45:08
468,468,Saint-Pierre,-21.3393,55.4781,78.8,78,0,4.61,RE,2021-02-20 21:44:30
469,469,Hambantota,6.1241,81.1185,76.26,88,68,13.76,LK,2021-02-20 21:44:24
472,472,Santa Maria,-29.6842,-53.8069,86.0,48,20,4.61,BR,2021-02-20 21:45:12
473,473,Porto Novo,6.4965,2.6036,82.4,61,0,4.61,BJ,2021-02-20 21:49:14
474,474,Cayenne,4.9333,-52.3333,80.6,74,90,8.05,GF,2021-02-20 21:42:05
475,475,Kailua,21.4022,-157.7394,80.6,65,75,9.22,US,2021-02-20 21:49:14
