City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
173,Thompson,55.7435,-97.8558,12.2,73,90,9.22,CA,2021-02-20 21:44:25
174,Kruisfontein,-34.0033,24.7314,66.99,73,45,4.54,ZA,2021-02-20 21:45:49
175,Ponta Do Sol,32.6667,-17.1,48.99,78,56,14.0,PT,2021-02-20 21:45:09
176,Catalina Foothills,32.2979,-110.9187,80.01,11,48,7.0,US,2021-02-20 21:48:22
177,Yermekeyevo,54.0761,53.6712,-16.35,88,100,3.71,RU,2021-02-20 21:48:22
178,Talnakh,69.4865,88.3972,-31.74,69,60,2.55,RU,2021-02-20 21:45:11
179,Uarini,-2.99,-65.1083,80.6,89,75,8.05,BR,2021-02-20 21:48:22
180,Portobelo,9.55,-79.65,81.0,99,12,13.71,PA,2021-02-20 21:48:22
181,Mahon,39.8885,4.2658,55.4,94,90,13.8,ES,2021-02-20 21:48:23
182,Hasaki,35.7333,140.8333,41.0,87,20,1.14,JP,2021-02-20 21:44:23
183,Vao,-22.6667,167.4833,79.52,84,97,20.65,NC,2021-02-20 21:45:02
184,Torbay,47.6666,-52.7314,25.0,74,90,11.5,CA,2021-02-20 21:44:32
185,San Sebastian El Grande,20.5167,-103.4167,82.0,21,20,4.61,MX,2021-02-20 21:48:23
186,Presidencia Roque Saenz Pena,-26.7852,-60.4388,91.0,39,54,1.99,AR,2021-02-20 21:46:01
187,Faanui,-16.4833,-151.75,81.61,77,100,14.45,PF,2021-02-20 21:44:18
188,Bure,10.7,37.0667,56.64,61,5,4.5,ET,2021-02-20 21:45:47
189,Krasnoselkup,65.7,82.4667,-39.69,81,51,6.51,RU,2021-02-20 21:48:24
190,Khatanga,71.9667,102.5,-24.74,86,96,4.32,RU,2021-02-20 21:44:12
191,Pacific Grove,36.6177,-121.9166,55.99,71,1,14.97,US,2021-02-20 21:44:36
192,Kalemie,-5.9475,29.1947,70.27,85,100,6.17,CD,2021-02-20 21:48:24
193,Palmas De Monte Alto,-14.2672,-43.1619,72.55,89,99,5.03,BR,2021-02-20 21:48:25
194,Izumo,35.3667,132.7667,51.8,76,40,14.97,JP,2021-02-20 21:42:03
195,Neiafu,-18.65,-173.9833,80.6,69,75,8.05,TO,2021-02-20 21:45:35
196,Te Anau,-45.4167,167.7167,63.7,52,15,2.55,NZ,2021-02-20 21:44:37
197,Arman,59.7,150.1667,0.5,85,100,13.27,RU,2021-02-20 21:48:25
198,Belaya Gora,68.5333,146.4167,-37.14,83,48,2.93,RU,2021-02-20 21:44:21
199,Oriximina,-1.7656,-55.8661,78.35,89,100,3.69,BR,2021-02-20 21:48:26
200,Mali,12.079,-12.2982,93.2,29,30,2.62,GN,2021-02-20 21:48:26
201,Camacha,33.0833,-16.3333,53.6,76,40,13.8,PT,2021-02-20 21:44:26
202,Sao Felix Do Xingu,-6.6447,-51.995,74.91,94,100,1.95,BR,2021-02-20 21:44:55
203,Puerto Quijarro,-17.7833,-57.7667,87.12,39,91,2.35,BO,2021-02-20 21:48:27
204,Champerico,14.3,-91.9167,89.6,55,40,11.5,GT,2021-02-20 21:48:27
205,Kaduqli,11.0167,29.7167,71.83,19,64,13.56,SD,2021-02-20 21:48:27
206,Isangel,-19.55,169.2667,80.6,89,90,7.94,VU,2021-02-20 21:45:36
207,Hamilton,39.1834,-84.5333,32.0,43,20,6.91,US,2021-02-20 21:41:36
208,Necochea,-38.5473,-58.7368,66.99,51,0,4.0,AR,2021-02-20 21:45:29
209,Sorland,67.667,12.6934,33.13,97,100,23.91,NO,2021-02-20 21:48:28
210,Kushiro,42.975,144.3747,27.95,87,2,21.97,JP,2021-02-20 21:45:24
211,Mantenopolis,-18.8625,-41.1228,71.17,96,99,7.85,BR,2021-02-20 21:48:28
212,Varazdin,46.3044,16.3378,39.99,87,54,3.0,HR,2021-02-20 21:48:28
213,Oistins,13.0667,-59.5333,75.2,73,75,13.8,BB,2021-02-20 21:48:28
214,Gazalkent,41.5581,69.7708,44.6,76,75,1.99,UZ,2021-02-20 21:48:29
215,Kuusamo,65.9667,29.1833,-2.2,78,75,10.36,FI,2021-02-20 21:48:29
216,Gamba,-2.65,10.0,79.34,82,100,5.7,GA,2021-02-20 21:48:29
217,Starkville,33.4504,-88.8184,48.99,49,1,3.44,US,2021-02-20 21:48:29
218,Bilma,18.6853,12.9164,64.89,25,94,5.46,NE,2021-02-20 21:45:37
219,Tommot,58.9564,126.2925,-22.32,84,100,1.25,RU,2021-02-20 21:48:29
220,Deputatskiy,69.3,139.9,-31.81,86,3,2.01,RU,2021-02-20 21:44:28
221,Lasa,46.6166,10.7002,39.99,87,0,2.3,IT,2021-02-20 21:45:03
222,Roald,62.5833,6.1333,46.4,71,40,8.05,NO,2021-02-20 21:45:16
223,Kahului,20.8947,-156.47,80.6,54,40,23.02,US,2021-02-20 21:40:16
224,Partizanskoye,55.5006,94.39,-9.24,88,100,6.69,RU,2021-02-20 21:48:30
225,Christchurch,-43.5333,172.6333,70.0,68,99,2.3,NZ,2021-02-20 21:48:30
226,Saldanha,-33.0117,17.9442,62.6,72,0,3.44,ZA,2021-02-20 21:44:45
227,Saint-Augustin,51.226,-58.6502,5.72,89,11,6.96,CA,2021-02-20 21:44:54
228,Longyearbyen,78.2186,15.6401,23.0,68,40,13.8,SJ,2021-02-20 21:44:35
229,Byron Bay,-28.65,153.6167,73.0,94,75,13.8,AU,2021-02-20 21:47:40
230,Alofi,-19.0595,-169.9187,82.4,69,48,23.02,NU,2021-02-20 21:44:24
231,Elwood,-37.8817,144.983,66.99,94,90,3.44,AU,2021-02-20 21:48:31
232,Murupara,-38.4667,176.7,72.0,73,0,1.99,NZ,2021-02-20 21:48:32
233,Alta Floresta,-9.8756,-56.0861,71.73,97,100,4.63,BR,2021-02-20 21:45:47
234,Santa Rosa,14.3122,121.1114,73.4,68,40,10.85,PH,2021-02-20 21:40:57
235,Acarau,-2.8856,-40.12,81.03,74,51,14.23,BR,2021-02-20 21:48:32
236,Vallenar,-28.5708,-70.7581,80.29,26,0,6.33,CL,2021-02-20 21:48:32
237,Nizwa,22.9333,57.5333,58.91,37,0,2.1,OM,2021-02-20 21:48:32
238,Bathsheba,13.2167,-59.5167,75.2,73,75,13.8,BB,2021-02-20 21:45:25
239,Atar,20.5169,-13.0499,67.86,20,0,5.5,MR,2021-02-20 21:44:34
240,Mount Hagen,-5.8581,144.2274,62.91,87,93,0.4,PG,2021-02-20 21:48:33
241,Poum,-20.2333,164.0167,82.72,75,100,4.21,NC,2021-02-20 21:44:18
242,Tocopilla,-22.092,-70.1979,72.23,55,26,9.93,CL,2021-02-20 21:45:47
243,Villa Union,23.2,-106.2333,77.0,65,1,5.75,MX,2021-02-20 21:48:33
244,Port Augusta,-32.5,137.7667,66.99,77,40,13.8,AU,2021-02-20 21:48:33
245,Udachnyy,66.4167,112.4,-36.63,81,87,3.87,RU,2021-02-20 21:48:34
246,Kangundo,-1.2979,37.3471,69.8,77,0,4.61,KE,2021-02-20 21:48:34
247,North Myrtle Beach,33.816,-78.68,51.01,32,1,8.05,US,2021-02-20 21:43:52
