City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
100,Cidreira,-30.18,-50.21,59.14,84,100,24.96,BR,2020-10-04 15:27:16
101,Naze,28.37,129.48,77.0,83,20,5.82,JP,2020-10-04 15:27:16
102,Faanui,-16.48,-151.75,76.86,79,4,16.08,PF,2020-10-04 15:27:16
103,Ano Komi,40.23,21.83,73.4,64,86,5.68,GR,2020-10-04 15:27:16
104,Clacton-On-Sea,51.79,1.16,52.0,99,100,32.32,GB,2020-10-04 15:27:17
105,Abu Samrah,35.3,37.18,81.45,28,0,11.59,SY,2020-10-04 15:27:17
106,Provideniya,64.38,-173.3,32.81,90,2,7.45,RU,2020-10-04 15:27:17
107,Hermanus,-34.42,19.23,71.01,58,9,4.0,ZA,2020-10-04 15:23:48
108,Zhezkazgan,47.8,67.71,51.8,34,54,6.71,KZ,2020-10-04 15:27:17
109,Padang,-0.95,100.35,78.53,79,80,3.87,ID,2020-10-04 15:27:17
110,Asau,46.43,26.4,66.99,83,46,4.94,RO,2020-10-04 15:27:17
111,Thompson,55.74,-97.86,41.0,93,90,11.41,CA,2020-10-04 15:27:17
112,Bredasdorp,-34.53,20.04,66.2,72,5,12.75,ZA,2020-10-04 15:27:17
113,Ahipara,-35.17,173.17,51.53,82,0,4.03,NZ,2020-10-04 15:27:18
114,Tiksi,71.69,128.87,23.34,95,100,18.63,RU,2020-10-04 15:27:18
115,Rabo De Peixe,37.8,-25.58,71.6,68,20,14.99,PT,2020-10-04 15:27:18
116,Castro,-24.79,-50.01,74.34,58,36,11.45,BR,2020-10-04 15:27:18
117,Bengkulu,-3.8,102.27,78.12,89,100,12.35,ID,2020-10-04 15:27:18
118,Haines Junction,60.75,-137.51,35.82,85,100,2.01,CA,2020-10-04 15:27:18
119,Leningradskiy,69.38,178.42,28.49,95,100,12.84,RU,2020-10-04 15:27:18
120,Huarmey,-10.07,-78.15,67.64,67,45,10.2,PE,2020-10-04 15:27:19
121,Ribeira Grande,38.52,-28.7,75.2,60,75,12.75,PT,2020-10-04 15:27:19
122,Tasiilaq,65.61,-37.64,39.2,60,0,2.91,GL,2020-10-04 15:27:19
123,Oyama,36.3,139.8,75.99,93,90,3.36,JP,2020-10-04 15:27:19
124,Mankato,44.16,-94.0,48.0,70,75,4.7,US,2020-10-04 15:27:07
125,Lavrentiya,65.58,-171.0,34.03,89,5,9.48,RU,2020-10-04 15:27:19
126,Fairlie,55.76,-4.86,61.0,72,100,10.29,GB,2020-10-04 15:27:19
127,Arraial Do Cabo,-22.97,-42.03,77.0,73,90,12.75,BR,2020-10-04 15:27:19
128,Necochea,-38.55,-58.74,48.0,76,7,4.0,AR,2020-10-04 15:27:20
129,Taos,36.41,-105.57,46.4,49,1,2.77,US,2020-10-04 15:27:20
130,Torre-Pacheco,37.74,-0.95,73.4,46,79,14.99,ES,2020-10-04 15:27:20
131,Hefei,31.86,117.28,55.4,62,75,4.47,CN,2020-10-04 15:27:20
132,Salalah,17.02,54.09,78.8,88,0,5.82,OM,2020-10-04 15:27:20
